word	count	note
re-secure	7	possible-hyphenated-artefact
540	7	numeric-out-of-range
861	7	numeric-out-of-range
sim	7	short-token
111th	7	alphanumeric-oddity
571	7	numeric-out-of-range
bb	7	short-token
831	7	numeric-out-of-range
ham	7	short-token
734	7	numeric-out-of-range
epa	7	short-token
666	7	numeric-out-of-range
345	7	numeric-out-of-range
839	7	numeric-out-of-range
647	7	numeric-out-of-range
bs	7	short-token
jet	7	short-token
adt	7	short-token
745	7	numeric-out-of-range
high-speed	7	possible-hyphenated-artefact
925	7	numeric-out-of-range
355	7	numeric-out-of-range
rd	7	short-token
637	7	numeric-out-of-range
uni	7	short-token
814	7	numeric-out-of-range
286	7	numeric-out-of-range
294	7	numeric-out-of-range
366	7	numeric-out-of-range
df	7	short-token
ams	7	short-token
701	7	numeric-out-of-range
dos	7	short-token
hg	7	short-token
692	7	numeric-out-of-range
kit	7	short-token
gm	7	short-token
65th	7	alphanumeric-oddity
hp	7	short-token
728	7	numeric-out-of-range
lfb	7	short-token
2801	7	numeric-out-of-range
543	7	numeric-out-of-range
183	7	numeric-out-of-range
194	7	numeric-out-of-range
724	7	numeric-out-of-range
mar	7	short-token
ct	7	short-token
ex-girlfriend	7	possible-hyphenated-artefact
626	7	numeric-out-of-range
743	7	numeric-out-of-range
356	7	numeric-out-of-range
3126	7	numeric-out-of-range
380	7	numeric-out-of-range
604	7	numeric-out-of-range
339	7	numeric-out-of-range
929	7	numeric-out-of-range
73rd	7	alphanumeric-oddity
353	7	numeric-out-of-range
447	7	numeric-out-of-range
137	7	numeric-out-of-range
634	7	numeric-out-of-range
393	7	numeric-out-of-range
396	7	numeric-out-of-range
5527	7	numeric-out-of-range
938	7	numeric-out-of-range
492	7	numeric-out-of-range
ate	7	short-token
7117	7	numeric-out-of-range
905	7	numeric-out-of-range
mc	7	short-token
org	7	short-token
424	7	numeric-out-of-range
625	7	numeric-out-of-range
4100	7	numeric-out-of-range
amo	7	short-token
engine3	7	alphanumeric-oddity
10410	7	numeric-out-of-range
10421	7	numeric-out-of-range
774	7	numeric-out-of-range
2920	7	numeric-out-of-range
10422	7	numeric-out-of-range
44th	6	alphanumeric-oddity
764	6	numeric-out-of-range
lay	6	short-token
787	6	numeric-out-of-range
3250	6	numeric-out-of-range
819	6	numeric-out-of-range
975	6	numeric-out-of-range
642	6	numeric-out-of-range
dtl	6	short-token
dm	6	short-token
2599	6	numeric-out-of-range
non-appearance	6	possible-hyphenated-artefact
fur	6	short-token
3330	6	numeric-out-of-range
205a	6	alphanumeric-oddity
537	6	numeric-out-of-range
934	6	numeric-out-of-range
ha	6	short-token
712	6	numeric-out-of-range
atl	6	short-token
non-compliant	6	possible-hyphenated-artefact
545	6	numeric-out-of-range
349	6	numeric-out-of-range
514	6	numeric-out-of-range
110th	6	alphanumeric-oddity
375	6	numeric-out-of-range
ox	6	short-token
577	6	numeric-out-of-range
775	6	numeric-out-of-range
390	6	numeric-out-of-range
ut	6	short-token
143060	6	numeric-out-of-range
343	6	numeric-out-of-range
583	6	numeric-out-of-range
toy	6	short-token
tc	6	short-token
2a	6	alphanumeric-oddity
795	6	numeric-out-of-range
364	6	numeric-out-of-range
942	6	numeric-out-of-range
dh	6	short-token
450	6	numeric-out-of-range
811	6	numeric-out-of-range
bmv	6	short-token
axe	6	short-token
376	6	numeric-out-of-range
387	6	numeric-out-of-range
dj	6	short-token
504	6	numeric-out-of-range
2911	6	numeric-out-of-range
576	6	numeric-out-of-range
363	6	numeric-out-of-range
pin	6	short-token
481	6	numeric-out-of-range
933	6	numeric-out-of-range
332	6	numeric-out-of-range
rat	6	short-token
vet	6	short-token
816	6	numeric-out-of-range
3b	6	alphanumeric-oddity
2600	6	numeric-out-of-range
780	6	numeric-out-of-range
445	6	numeric-out-of-range
640	6	numeric-out-of-range
732	6	numeric-out-of-range
re-advise	6	possible-hyphenated-artefact
436	6	numeric-out-of-range
eli	6	short-token
357	6	numeric-out-of-range
448	6	numeric-out-of-range
8am	6	alphanumeric-oddity
446	6	numeric-out-of-range
384	6	numeric-out-of-range
944	6	numeric-out-of-range
117s	6	alphanumeric-oddity
7540	6	numeric-out-of-range
opd	6	short-token
457	6	numeric-out-of-range
773	6	numeric-out-of-range
8140	6	numeric-out-of-range
499	6	numeric-out-of-range
bun	6	short-token
919	6	numeric-out-of-range
652	6	numeric-out-of-range
long-sleeved	6	possible-hyphenated-artefact
582	6	numeric-out-of-range
472	6	numeric-out-of-range
184	6	numeric-out-of-range
lip	6	short-token
801	6	numeric-out-of-range
inc	6	short-token
3900	6	numeric-out-of-range
dan	6	short-token
524	6	numeric-out-of-range
358	6	numeric-out-of-range
2990	6	numeric-out-of-range
10720	6	numeric-out-of-range
6108	6	numeric-out-of-range
2650	6	numeric-out-of-range
engine2	6	alphanumeric-oddity
20375	6	numeric-out-of-range
10417	6	numeric-out-of-range
220107	6	numeric-out-of-range
2919	6	numeric-out-of-range
20104	6	numeric-out-of-range
10414	6	numeric-out-of-range
10418	6	numeric-out-of-range
29104	6	numeric-out-of-range
99th	5	alphanumeric-oddity
www	5	short-token
cal	5	short-token
nah	5	short-token
8200	5	numeric-out-of-range
dam	5	short-token
flu	5	short-token
542	5	numeric-out-of-range
pcs	5	short-token
gap	5	short-token
tl	5	short-token
177th	5	alphanumeric-oddity
90th	5	alphanumeric-oddity
gym	5	short-token
